"Date" "x" "y" "Species" "Type" "dist_obs"
"2019-09-05" 760.124120237591 4622.16562220121 "Tursiops truncatus" "UNIRM" 1.74003
"2019-09-14" 767.818402266156 4623.20777700125 "Tursiops truncatus" "UNIRM" 1.05791
"2019-09-15" 768.579057370884 4625.56037758947 "Tursiops truncatus" "UNIRM" 0.972
"2019-09-16" 768.701151029794 4624.19497197826 "Tursiops truncatus" "UNIRM" 0.88041
"2019-09-17" 763.536787828625 4627.30086526699 "Tursiops truncatus" "UNIRM" 0.972
"2019-09-28" 766.786344891145 4623.91647265517 "Tursiops truncatus" "UNIRM" 1.10756
"2019-10-12" 745.720858196209 4645.91146992577 "Tursiops truncatus" "UNIRM" 1.58901
"2019-10-13" 766.153983681896 4621.96921035456 "Tursiops truncatus" "UNIRM" 0.65799
"2019-10-18" 761.263698091821 4621.25867458969 "Tursiops truncatus" "UNIRM" 0.38972
"2019-10-19" 760.88861329673 4627.56395421918 "Tursiops truncatus" "UNIRM" 0.45512
"2019-10-28" 755.823640221737 4635.01037852066 "Tursiops truncatus" "UNIRM" 3.21421
"2019-10-29" 768.364846081645 4617.11562930417 "Tursiops truncatus" "UNIRM" 0.57378
"2019-10-29" 769.221003696444 4621.53679968544 "Tursiops truncatus" "UNIRM" 1.72285
"2007-05-26" 700.305882415525 4647.04958621025 "Stenella coeruleoalba" "FERRY" 0.05
"2007-06-11" 700.305882415525 4647.04958621025 "Stenella coeruleoalba" "FERRY" 0.1
"2007-06-11" 686.781983481252 4635.56964638833 "Stenella coeruleoalba" "FERRY" 0.3
"2007-07-01" 675.895541789855 4627.88546956391 "Stenella coeruleoalba" "FERRY" 0.8
"2007-07-15" 724.64419631528 4664.45113668877 "Stenella coeruleoalba" "FERRY" 0.2
"2007-07-15" 699.027758223487 4643.30983628173 "Stenella coeruleoalba" "FERRY" 0.2
"2007-07-15" 678.665415686866 4627.95422046628 "Stenella coeruleoalba" "FERRY" 1.9
"2007-07-15" 674.600581319173 4624.15076200481 "Stenella coeruleoalba" "FERRY" 1.8
"2007-08-26" 694.93182837644 4641.34395019831 "Stenella coeruleoalba" "FERRY" 3.6
"2008-06-28" 713.432706552812 4653.32254829727 "Stenella coeruleoalba" "FERRY" 0.5
"2008-07-05" 681.347142024821 4628.35179095812 "Stenella coeruleoalba" "FERRY" 0.005
"2008-07-11" 699.332735581281 4645.81092628714 "Stenella coeruleoalba" "FERRY" 0.3
"2008-07-19" 713.429076836562 4652.06654089978 "Stenella coeruleoalba" "FERRY" 0.1
"2008-08-05" 694.755603798505 4641.26133836814 "Stenella coeruleoalba" "FERRY" 0.5
"2008-08-06" 682.03950305293 4627.61388516677 "Stenella coeruleoalba" "FERRY" 0.4
"2008-08-23" 713.952951267978 4653.00481084749 "Stenella coeruleoalba" "FERRY" 0.06
"2009-08-14" 694.987508410167 4639.31197293781 "Stenella coeruleoalba" "FERRY" 0.8
"2009-08-14" 703.796382245508 4645.8486971731 "Stenella coeruleoalba" "FERRY" 0.6
"2009-09-26" 697.082668404768 4643.62568061635 "Stenella coeruleoalba" "FERRY" 2
"2010-04-30" 703.06862239358 4647.12806851454 "Stenella coeruleoalba" "FERRY" 0
"2010-08-06" 681.388269104037 4629.87498283542 "Stenella coeruleoalba" "FERRY" 0.5
"2011-06-12" 697.748250160847 4639.56594169337 "Stenella coeruleoalba" "FERRY" 0.005
"2011-06-17" 689.549009208677 4635.6427183555 "Stenella coeruleoalba" "FERRY" 0.8
"2011-08-04" 707.105204712309 4650.94543955058 "Tursiops truncatus" "FERRY" 0.2
"2011-08-05" 704.5038007326 4645.31337644084 "Stenella coeruleoalba" "FERRY" 0.03
"2011-08-18" 685.446297684542 4633.67921505943 "Stenella coeruleoalba" "FERRY" 0.4
"2011-09-10" 674.645848651314 4622.29652027913 "Stenella coeruleoalba" "FERRY" 0.7
"2011-09-24" 671.784718632972 4625.9378749969 "Stenella coeruleoalba" "FERRY" 0.05
"2011-09-25" 682.820740219961 4628.05604268096 "Stenella coeruleoalba" "FERRY" 1
"2014-03-19" 672.076372110607 4638.48787946615 "Stenella coeruleoalba" "FERRY" 0.3
"2014-03-19" 680.716437965869 4642.19075460163 "Stenella coeruleoalba" "FERRY" 0.4
"2014-03-19" 682.032288557001 4642.79097540013 "Stenella coeruleoalba" "FERRY" 0.15
"2014-03-19" 685.262457610968 4644.11887528073 "Stenella coeruleoalba" "FERRY" 0.6
"2014-03-19" 686.756693822891 4644.72466759713 "Stenella coeruleoalba" "FERRY" 0.3
"2015-02-13" 670.372835524589 4638.48023290784 "Stenella coeruleoalba" "FERRY" 0.6
"2015-02-13" 673.301028273661 4639.78413563144 "Stenella coeruleoalba" "FERRY" 0.2
"2013-10-09" 691.489588571922 4646.19518430968 "Stenella coeruleoalba" "FERRY" 0.8
"2013-11-29" 659.124265075167 4633.08762112972 "Stenella coeruleoalba" "FERRY" 0.2
"2014-10-01" 662.338860679984 4635.04862489194 "Stenella coeruleoalba" "FERRY" 0.1
"2014-10-15" 708.863442751563 4655.7425502113 "Stenella coeruleoalba" "FERRY" 0.1
"2013-07-19" 665.277559254249 4635.54944172738 "Stenella coeruleoalba" "FERRY" 0.4
"2013-07-28" 666.656155405137 4636.15924556601 "Stenella coeruleoalba" "FERRY" 0.1
"2013-07-28" 678.484969631906 4641.35665093174 "Stenella coeruleoalba" "FERRY" 0.1
"2013-08-07" 677.713017415963 4641.09288957377 "Stenella coeruleoalba" "FERRY" 0.1
"2013-08-21" 682.275096431336 4642.6749768108 "Stenella coeruleoalba" "FERRY" 0.4
"2013-08-21" 702.251293869361 4651.52768463975 "Stenella coeruleoalba" "FERRY" 0.3
"2013-08-29" 679.881209011952 4642.92510285568 "Stenella coeruleoalba" "FERRY" 0.5
